Market Name,Store Name,Bin Location,Provider,Description,Part Number,Store Part ID,Part ID,UPC,Parts Quantity,Most Recent Cost,Weighted Average Cost,Last Ordered Date,Last Used Date,Days Since Last Interaction,Total Cost Store Parts
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CE20*CE10,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,683953,2257898,0,31078,$0.51,$0.48,2025-01-06,2025-02-10,8,"$14,855.28"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CF20,DURACELL,DURACELL PROCELL AAA BATTERY-EACH,PC2400BKD-EACH,888956,4028313,0,22278,$0.53,$0.53,2025-01-16,2024-08-30,172,"$11,740.51"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CB25 * EB40 * HB40,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,684082,781708,662911302361,14200,$1.15,$1.33,2024-12-27,2024-12-30,50,"$18,816.42"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CE10 * CF20,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,684112,3679801,0,13723,$0.46,$0.46,2025-01-06,2024-08-30,172,"$6,278.27"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DE10,BEST WELDS,"Cover Lens, Scratch/Static Resistant, 4-1/4 in x 2 in, 100% CR-39 Plastic",SP-2,684076,2038949,604669115022,12539,$0.49,$0.49,2025-02-04,2024-08-30,172,"$6,121.54"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DE10,WYPO,TIP CLEANER,SP-1,684450,3747018,0,10000,$2.08,$2.08,2024-08-31,1899-12-31,171,"$20,800.00"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CB25 * JD30,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,857768,2039881,662911302293,8900,$0.84,$0.84,2024-12-27,1899-12-31,53,"$7,469.77"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,LC10,TECHNIWELD,1/4 X REEL (800FT) GREEN SINGLE LINE,HSI14XRLG,1167258,4125760,0,8800,$0.36,$0.36,2025-01-15,1899-12-31,34,"$3,168.00"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,FF20 * GA20 * GA10,GENERAL WORK PRODUCTS,"12"" PVC GLOVE SMOOTH - EACH",G2233S- EACH,684607,3695004,700829117605,6808,$1.04,$1.12,2024-12-30,2024-12-27,53,"$7,654.92"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DF20 * HD30,MCR SAFETY,Clear Face Shield,181640,855661,4121028,0,6785,$1.72,$1.71,2024-12-18,2024-12-30,50,"$11,586.74"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,EA10 * EA20 * EA30 * EA40 * IB40 * GD30,PYRAMEX,Proximity Safety Glasses - Black Foam Lined Frame - Dark Gray H2X Anti-Fog Lens,SB9323ST,684725,3679777,811907026334,6574,$3.00,$2.75,2024-12-27,2024-12-28,52,"$18,079.81"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CE40 * CF10 * CF20,GENERAL WORK PRODUCTS,1 X 520 THREAD SEAL TAPE,T1T520100 - EACH,684543,2053495,0,6452,$0.25,$0.26,2024-12-27,2024-08-30,172,"$1,653.00"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,EB30 * DF30,IRONWEAR,"8"" CLEAR FACE SHIELD",3939,684420,775258,20607659393909,6052,$1.25,$1.23,2025-02-04,2024-12-28,52,"$7,415.52"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CA20,DEWALT,"4-1/2 X1/8 X5/8""-11 PIPELINER CUT GRINDING WHEEL",DW8435Z,684077,699200,028877321851,5902,$1.70,$1.73,2025-01-15,2024-12-27,53,"$10,201.02"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,GC30 * CD10 * KD30,MICHIGAN PNEUMATIC,CLIP SAFETY,AC1,684624,69544,0,5475,$0.16,$0.22,2025-02-04,2024-12-28,52,"$1,195.19"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CB40 * CB10 * CC40,DEWALT,4-1/2 X 1/4 X 5/8-11 GEN PURP GRINDING WHEEL,DW4523Z,684078,699190,028874045231,5321,$1.79,$1.79,2024-12-27,2024-08-30,172,"$9,497.98"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,FC30 * EC40 * DE40 * ID40 * HD40 * JB40 * JA40 * DE15,GENERAL WORK PRODUCTS,"EACH BLUE DISPOSABLE COVERALLS, HOOD AND BOOT",PPCB1641-XL-EACH,684632,3556846,700829134626,5088,$1.80,$1.76,2024-12-18,2024-12-27,53,"$8,956.41"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DE10,STORMWHISTLE,"ORANGE STORM WHISTL, BULK, NO LANYARD",STRMWHISTL-OR,684629,2250064,0,4346,$3.39,$3.28,2024-12-30,2024-12-27,53,"$14,234.89"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CE10*CD25,BIG CITY MANUFACTURING,YELLOW BARRICADE TAG,BCM9558,1056914,2257899,0,4320,$0.51,$0.51,2025-01-06,2025-01-22,27,"$2,191.97"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,EB10 * EB25,IRONWEAR,CLEAR HARMONY GLASSES,3550-C-C PAIR,684212,832484,607659550018,4116,$0.66,$0.89,2025-02-04,1899-12-31,14,"$3,658.71"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DE10,STORMWHISTLE,BREAKAWAY LANYARD FOR STORM WHISTLE,LANYARD-BR,684622,2250065,0,4044,$0.85,$0.85,2024-12-30,2024-12-27,53,"$3,424.46"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,EA25 * IB40 * IC40 * GD30,PYRAMEX,Indoor/Outdoor Mirror Lens with Indoor/Outdoor Mirror Temples,S4180S,853090,2060549,814992009787,3986,$0.75,$0.77,2025-02-04,2024-12-27,53,"$3,088.35"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BA25,MILWAUKEE TOOL,"6"" 18 TPI The Torch™ SAWZALL® Blades",48-01-7784-EA,855187,4120473,045242083596,3916,$1.68,$1.64,2024-12-30,2024-12-29,51,"$6,409.32"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,EA10 * EA20 * EA30 * GD40,PYRAMEX,Proximity Safety Glasses - Black Foam Lined Frame - Clear H2X Anti-Fog Lens,SB9310ST,684724,3679780,811907026327,3564,$3.00,$2.62,2024-12-28,2024-12-27,53,"$9,338.39"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB6DR4*CAB6DR5,EAGLE TAPTEK,MED LINE YELLOW PAINT MARKER / ea,PM16-01416 YEL,684466,2060525,842006014168,3234,$1.77,$1.77,2025-02-04,2024-11-07,103,"$5,725.15"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,EC25 * EC40 * JE40,GENERAL WORK PRODUCTS,"GOGGLES, CLEAR ANTI SCRTCH/FOG",SG363GCLEAR,684645,2053503,70082900100027,3182,$4.50,$4.50,2025-01-09,2024-08-30,172,"$14,317.73"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DE40 * DF40 * DF40 * EF10 * IB40 * GD30,PYRAMEX,Aluminum Full Brim Hard Hat Adapter,HHAAW,684035,2249701,814992010127,3175,$5.16,$5.17,2024-12-18,2024-12-27,53,"$16,419.20"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CF10 * JC30,GENERAL WORK PRODUCTS,"1/2"" X 520"" THREAD SEAL TAPE",T1/2T520-ROLL,684214,2054247,7008291516234,3133,$0.35,$0.30,2025-01-15,2025-01-14,35,$936.77
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CA25 * CA30 * CA40 * CA10,DEWALT,4-1/2 X 5/8-11 80G T29 HP FLAP,DW8313,684104,699179,028877310497,3100,$2.93,$2.95,2025-01-03,2024-12-27,53,"$9,151.20"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CA25*CA40,DEWALT,4-1/2 x 5/8-11 60g T29 hp Flap,DW8312,684680,1550541,028877310480,3082,$0.00,$2.87,2024-12-12,2024-12-27,53,"$8,855.51"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CE10,BIG CITY MANUFACTURING,STRIPED LOCK OUT TAG LOTO,BCM9658,684111,3679800,0,2775,$0.51,$0.51,2024-12-18,2024-12-27,53,"$1,415.25"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BC30,MICHIGAN PNEUMATIC,WHIP CHECK 1/2-1-1/4 FOR AIR HOSE,SLC1,684702,43008,0,2623,$3.95,$3.93,2024-12-27,2024-08-30,172,"$10,313.90"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CF10,ENERGIZER,	 BATTERY ZMA ALKALINE AA BATTERY SINGLE BATTERY,EN91 - SINGLE BATTERY,1055951,4167967,0,2520,$0.40,$0.55,2024-12-30,2024-12-27,53,"$1,391.80"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CF10,ENERGIZER,BATTERY ZMA ALKALINE AAA BATTERY - Each,EN92 - SINGLE BATTERY,1055903,4167962,0,2469,$0.35,$0.45,2024-12-18,2024-12-27,53,"$1,115.25"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,FC30 * DD10 * DD15 * IE40 * JB40 * JA40 * JA30,GENERAL WORK PRODUCTS,"PAIR- BLUE DISPOSABLE COVERALLS, HOOD AND BOOT",PPCB1641-3X-PAIR,684635,3694297,700829134640,2179,$1.68,$1.65,2024-12-27,2024-08-30,172,"$3,588.16"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB6DR6*CAB6DR7,EAGLE TAPTEK,MED LINE BLUE PAINT MARKER 2.3MM,PM16-00216 BLU,684158,2249761,842006002165,2097,$1.77,$1.78,2025-01-15,2024-12-27,53,"$3,740.00"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DD40 * DD10 * ID40 * JA30 * GC40 * DE30 * DD25,GENERAL WORK PRODUCTS,"EACH BLUE DISPOSABLE COVERALLS, HOOD AND BOOT",PPCB1641-L-EACH,684633,3556845,700829134619,1980,$1.80,$1.80,2024-12-27,2024-08-30,172,"$3,570.14"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB6DR1*CAB6DR2,EAGLE TAPTEK,MED LINE WHITE PAINT MARKER 2.3MM / ea,PM16-01316 WT,684157,2060524,842006013161,1976,$1.77,$1.77,2024-12-28,1899-12-31,52,"$3,494.56"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,FF40,STARRETT,"BLADE PORTABAND 44-7/8"" 18TPI 3/PKG",BM18,684170,781704,049659146028,1952,$6.80,$6.80,2025-01-04,1899-12-31,45,"$13,273.60"
